timestamp,seconds,role,pid,pcpu,rss_mb,vsz_mb,etime
2026-08-28 23:13:54,1506,game,27291,73.0,1517.8,48104.6,36:05
2026-08-28 23:13:54,1506,wineserver,27386,2.9,255.6,35009.6,36:05
2026-08-28 23:13:54,1506,grap,29409,0.4,407.5,42920.0,35:26
2026-08-28 23:14:24,1536,game,27291,82.1,1529.8,48113.4,36:35
2026-08-28 23:14:24,1536,wineserver,27386,4.3,283.6,35037.9,36:35
2026-08-28 23:14:24,1536,grap,29409,1.8,407.5,42920.0,35:56
2026-08-28 23:14:54,1566,game,27291,80.4,1540.8,48136.5,37:05
2026-08-28 23:14:54,1566,wineserver,27386,3.8,171.6,34924.6,37:05
2026-08-28 23:14:54,1566,grap,29409,1.7,407.6,42920.0,36:26
2026-08-28 23:15:24,1596,game,27291,85.3,1501.6,48160.9,37:35
2026-08-28 23:15:24,1596,wineserver,27386,3.4,117.7,34875.3,37:35
2026-08-28 23:15:24,1596,grap,29409,1.6,408.1,42920.0,36:56
2026-08-28 23:15:54,1626,game,27291,53.7,1417.0,48158.0,38:06
2026-08-28 23:15:54,1626,wineserver,27386,4.5,170.3,34934.5,38:06
2026-08-28 23:15:54,1626,grap,29409,3.4,399.6,42920.0,37:27
2026-08-28 23:16:25,1657,game,27291,79.4,1407.9,48213.2,38:36
2026-08-28 23:16:25,1657,wineserver,27386,2.8,273.7,35021.9,38:36
2026-08-28 23:16:25,1657,grap,29409,0.7,399.7,42920.0,37:57
2026-08-28 23:16:55,1687,game,27291,87.9,1424.6,48166.3,39:06
2026-08-28 23:16:55,1687,wineserver,27386,3.5,203.7,34949.5,39:06
2026-08-28 23:16:55,1687,grap,29409,2.0,399.9,42920.0,38:27
2026-08-28 23:17:25,1717,game,27291,92.4,1468.8,48731.5,39:36
2026-08-28 23:17:25,1717,wineserver,27386,3.3,195.3,34940.5,39:36
2026-08-28 23:17:25,1717,grap,29409,0.6,402.3,42920.0,38:57
2026-08-28 23:17:55,1747,game,27291,87.7,1507.4,48779.6,40:06
2026-08-28 23:17:55,1747,wineserver,27386,4.9,295.5,35047.2,40:06
2026-08-28 23:17:55,1747,grap,29409,2.2,402.4,42920.0,39:27
2026-08-28 23:18:25,1777,game,27291,77.6,1438.8,48769.5,40:36
2026-08-28 23:18:25,1777,wineserver,27386,9.9,294.6,35047.2,40:36
2026-08-28 23:18:25,1777,grap,29409,25.5,402.9,43048.0,39:57
